a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,centroid_long,centroid_lat,area_sq_m
0.1353,0,DA,262,247,59170154,560,59170154,5917,5917034,9350013.02,59935,-123.35635698247265,48.4423138558791,1.6451566873885634e-05
0.1579,0,DA,248,240,59170226,589,59170226,5917,5917034,9350014.01,59935,-123.33562804716972,48.43731522624301,1.924465241239178e-05
0.0925,0,DA,262,247,59170224,506,59170224,5917,5917034,9350014.01,59935,-123.33111996533472,48.438026659808756,1.1174691117811456e-05
0.1473,0,DA,215,209,59170135,500,59170135,5917,5917034,9350014.01,59935,-123.34188369468326,48.43905044926391,1.7892729909445572e-05
0.0955,0,DA,155,146,59170228,339,59170228,5917,5917034,9350014.02,59935,-123.34136294963986,48.441209691009895,1.1608094899038126e-05
0.3143,0,DA,379,364,59170223,944,59170223,5917,5917021,9350123.01,59935,-123.33225856566581,48.43915968808839,1.977741892297848e-07
0.087,0,DA,295,278,59170133,703,59170133,5917,5917034,9350014.02,59935,-123.34433981098164,48.442425994526126,1.0569168165106813e-05
0.1632,0,DA,436,415,59170227,778,59170227,5917,5917034,9350014.02,59935,-123.33836688284168,48.44269923468479,1.9791802009927847e-05
0.1329,0,DA,189,179,59170225,488,59170225,5917,5917034,9350014.02,59935,-123.33403091568549,48.442570984571375,1.5918362670278387e-05
0.2325,0,DA,218,215,59170229,445,59170229,5917,5917034,9350014.02,59935,-123.33672236670516,48.446408768961,2.7819530990147806e-05
0.1605,0,DA,282,274,59170131,650,59170131,5917,5917034,9350014.02,59935,-123.34314697383391,48.44616852825111,1.9223112599735544e-05
0.1436,0,DA,314,300,59170156,609,59170156,5917,5917034,9350013.02,59935,-123.35160765620479,48.44263798300391,1.7455919613917407e-05
0.1058,0,DA,271,243,59170132,517,59170132,5917,5917034,9350014.02,59935,-123.34735798964537,48.44275216232828,1.289623800756219e-05
0.2309,0,DA,249,238,59170128,552,59170128,5917,5917034,9350013.02,59935,-123.35409875602194,48.44596441265149,2.955848689284754e-05
0.1691,0,DA,358,340,59170130,778,59170130,5917,5917034,9350014.02,59935,-123.34788704049018,48.44705989901495,2.029760035661083e-05
0.142,0,DA,247,239,59170126,583,59170126,5917,5917034,9350013.02,59935,-123.36198520185219,48.44774480518847,1.721222728416358e-05
0.1498,0,DA,257,243,59170129,534,59170129,5917,5917034,9350013.02,59935,-123.35363427493829,48.44854242377788,1.813049641620415e-05
0.3127,0,DA,430,421,59170589,896,59170589,5917,5917021,9350125.02,59935,-123.35585911469327,48.449643509815566,1.4181628103864672e-07
0.1066,0,DA,307,301,59170123,499,59170123,5917,5917021,9350125.01,59935,-123.36096776430891,48.44907299025043,1.1796697022643625e-08
0.7603,0,DA,351,346,59170738,829,59170738,5917,5917021,9350124.0,59935,-123.34872255430025,48.45003123313072,1.745390232687224e-07
0.203,0,DA,262,250,59170597,600,59170597,5917,5917021,9350123.02,59935,-123.33245286064081,48.44764633536947,3.277776205534353e-08
