OBJECTID,Label,Direction,SHAPE_Length,Year,PDF
1647,381 (23),one,17.7664127642962,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/El2nP-lJA8dEuXsZK1hbG2EBoIaG26x2TH845OYXjPkLSA?e=MmcqtV
1648,539 (23),one,19.0960080544818,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/El2nP-lJA8dEuXsZK1hbG2EBoIaG26x2TH845OYXjPkLSA?e=MmcqtV
1649,504 (23),one,28.1468536685136,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/ErS85T1HE-xNvlXaO5blahYBqkHSshb5iOxhEso5xYEl_g?e=nSY9Tq
1650,924 (23),one,28.6920044170519,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EnCu6n7MBPJPn86c1N3_2eABOMEeh7G4xlMRLxweILwz0w?e=KmuN87
1651,856 (23),one,29.1755396063899,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EnCu6n7MBPJPn86c1N3_2eABOMEeh7G4xlMRLxweILwz0w?e=KmuN87
1652,128 (23),one,32.2008391603771,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/ElMNOt863uBHj5cdPdwbJZgBdPZd8ld3uk-5x4N_Llqhbg?e=l2lkzr
1653,126 (23),one,28.4650632724841,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/ElMNOt863uBHj5cdPdwbJZgBdPZd8ld3uk-5x4N_Llqhbg?e=l2lkzr
1654,4765 (23),one,20.3915867486919,2023,https://cityvictoria.sharepoint.com/:b:/r/sites/TRAN-Transportation-Operations/Our%20Vault/Data%20Co
1655,5594 (23),one,17.3749069297126,2023,https://cityvictoria.sharepoint.com/:b:/r/sites/TRAN-Transportation-Operations/Our%20Vault/Data%20Co
1656,20608 (23),one,34.0611958577623,2023,https://cityvictoria.sharepoint.com/:b:/r/sites/TRAN-Transportation-Operations/Our%20Vault/Data%20Co
1657,18569 (23),one,33.7030668793431,2023,https://cityvictoria.sharepoint.com/:b:/r/sites/TRAN-Transportation-Operations/Our%20Vault/Data%20Co
1658,8127 (23),one,14.952522046021,2023,https://cityvictoria.sharepoint.com/:b:/r/sites/TRAN-Transportation-Operations/Our%20Vault/Data%20Co
1659,9862 (23),one,16.7739423379144,2023,https://cityvictoria.sharepoint.com/:b:/r/sites/TRAN-Transportation-Operations/Our%20Vault/Data%20Co
1660,9301 (23),one,19.6120954635038,2023,
1661,8668 (23),one,18.478214107231,2023,
1662,4681 (23),one,21.3912311752192,2023,https://cityvictoria.sharepoint.com/:b:/r/sites/TRAN-Transportation-Operations/Our%20Vault/Data%20Co
1663,6416 (23),one,21.7023233371795,2023,https://cityvictoria.sharepoint.com/:b:/r/sites/TRAN-Transportation-Operations/Our%20Vault/Data%20Co
1664,16089 (23),one,30.5453974356996,2023,
1665,17047 (23),one,35.5481643001591,2023,
1666,8765 (23),one,19.8481945009462,2023,
1667,8980 (23),one,20.2427566565305,2023,
1668,7953 (23),one,20.5589382456935,2023,
1669,7746 (23),one,18.6807702880262,2023,
1670,8074 (23),one,27.5166584613708,2023,
1671,7133 (23),one,20.9636238150065,2023,
1672,6321 (23),one,38.8107108897566,2023,
1673,7732 (23),one,29.5728430226885,2023,
1674,2913 (23),one,16.2253478373533,2023,
1675,2834 (23),one,12.4372080629894,2023,
1676,836 (23),one,21.1678586333232,2023,
1677,856 (23),one,20.1094143564784,2023,
1678,9014 (23),one,27.5772779885388,2023,
1679,2133 (23),one,39.3792035838058,2023,
1680,2442 (23),one,33.9090101957633,2023,
1681,5826 (23),one,18.9444959933584,2023,
1682,6632 (23),one,11.5368929558038,2023,
1683,5410 (23),one,34.5373849868808,2023,
1684,5792 (23),one,22.0011119918815,2023,
1685,5239 (23),one,22.4507392989073,2023,
1686,7464 (23),one,18.5646486487204,2023,
1687,9263 (23),one,28.7991492535622,2023,
1688,10813 (23),one,25.6125749153089,2023,
1689,2192 (23),one,28.3420629199258,2023,
1690,1585 (23),one,22.425734758279,2023,
1691,2416 (23),one,9.24634831331631,2023,
1692,3144 (23),one,10.5265987633488,2023,
1693,7411 (23),one,30.4152780429438,2023,
1694,2846 (23),one,46.3507491197082,2023,MioVision - McElhanney
1695,2948 (23),one,41.2006878039717,2023,MioVision - McElhanney
1696,7662(23),one,23.9666343611909,2023,
1697,7294(23),one,20.8704428664517,2023,
1698,88 (23),one,26.3986635158551,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EguAJzWs4z9OjU-PREhNAJcBLEptNYFkFhFqj5883q5e6w?e=pKe58X
1699,82 (24),one,36.3402324096543,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Eh8RovD5SLZLu4UPI9rftDMBnInGdl9tg8pr2BaI7JPk8Q?e=UkCkSG
1700,187 (24),one,27.5979926399184,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Eh8RovD5SLZLu4UPI9rftDMBnInGdl9tg8pr2BaI7JPk8Q?e=UkCkSG
1701,258 (24),one,22.6485475843178,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EpokPK9vLnNEnPpeOFyrPUwBTX-3SmotGlhO2QpxTjInjg?e=n3s5gx
1702,221 (24),one,22.9680945894301,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EpokPK9vLnNEnPpeOFyrPUwBTX-3SmotGlhO2QpxTjInjg?e=n3s5gx
1703,96 (24),one,16.9386899857536,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EhDFbIZJCaRMoMaQ6Hn-_fMBE4dllnUIgL2bRQVFe26RlA?e=QEWGX6
1704,172 (24),one,14.1880189751305,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EhDFbIZJCaRMoMaQ6Hn-_fMBE4dllnUIgL2bRQVFe26RlA?e=QEWGX6
1705,210 (24),one,27.0934000015259,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Eo8MiCSMPzFKiBVM35tuQhcBZo66asy1j3amIwD11V99-A?e=3XawPt
1706,409 (24),one,27.7292081301029,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Eo8MiCSMPzFKiBVM35tuQhcBZo66asy1j3amIwD11V99-A?e=3XawPt
1707,385 (23),one,23.2253998507965,2023 - Sep,
1708,345 (24),one,25.1892896181444,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EheWh2nrJJhBrDykwSy1lJkBsZBsifojCEHHhmUbhKByKA?e=M5e6Y3
1709,250 (24),one,24.0244334052619,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EheWh2nrJJhBrDykwSy1lJkBsZBsifojCEHHhmUbhKByKA?e=M5e6Y3
1710,247 (24),one,22.0173695015843,2024,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EnNQ1fJsRJtBnaVUvgBGbvMBTMANI7LFEjcgnXsTEFFb6A?e=lz5k0i
