node_id,x,y,longitude,latitude,nearest_DAUID,nearest_Population_Density_Demand,nearest_Commute_PT_Demand,nearest_Bus_Stop_Proximity,nearest_Route_Coverage_Percent,nearest_Bus_Stop_Density,nearest_Income_Demand,nearest_Overall_Demand,nearest_Employment_Demand,nearest_Commute_Duration_Demand,nearest_Overall_Accessibility,nearest_demand_dist,nearest_school_dist,schools_within_0.5km,schools_within_1.0km,schools_within_2.0km,nearest_healthcare_dist,healthcare_within_0.5km,healthcare_within_1.0km,healthcare_within_2.0km,nearest_pop_dist,population_within_0.5km,population_within_1.0km,population_within_2.0km,route_connections,bus_stop_density_per_km2,ridership_proxy
N902,-13728544.10697,6178419.942706,-123.32561000000136,48.42837840000118,2021S051259170181,2,4,4,3,3,3,22,2,4,9,0.13009736738787273,0.9439817118867629,0,1,5,0.2058600834651296,6,11,26,0.3459378760268518,4053,8804,31216,1,58.250709171633694,64.36489569454132
N903,-13731121.498272,6181927.629843,-123.3487630999988,48.44928279999792,2021S051259170130,4,2,3,2,4,5,18,2,2,12,0.2534439514547531,0.9304327542604279,0,2,5,0.9758181702805065,0,2,14,0.08324646071954743,2141,8155,30554,1,40.74366543152521,36.869587560699266
N904,-13729057.712836,6178555.009024,-123.33022379999576,48.42918350000014,2021S051259170179,3,2,4,3,1,4,17,2,1,10,0.12265112588382068,0.9920458070411218,0,1,5,0.017319090519697013,9,13,30,0.5095187619606473,3366,13208,38957,2,73.84789359463944,40.369719671708
N905,-13733365.543359,6180693.47232,-123.36892169999787,48.44192870000101,2021S051259170384,1,3,5,3,3,4,18,3,2,10,0.2033614093370758,0.7679339954952518,0,1,3,0.27144423215492136,1,4,26,0.49738338068132354,2459,11653,48427,3,101.85916357881302,38.515242320155004
N906,-13733179.739997,6178271.642319,-123.3672525999986,48.42749439999705,2021S051259170809,3,1,5,1,1,5,16,4,3,7,0.22396723429822446,0.9144674190413485,0,1,4,0.13133469416682858,10,18,39,0.22517082112423656,3692,15608,59430,4,106.95212175775367,27.629640060959925
N907,-13733041.48119,6178247.09919,-123.36601060000369,48.42734810000077,2021S051259170809,3,1,5,1,1,5,16,4,3,7,0.1405988989931577,0.834874251315545,0,1,4,0.18778068019052283,11,20,41,0.14163237016927377,5219,14358,59934,2,106.95212175775367,32.68405049383294
N908,-13730630.056116,6177688.112055,-123.34434839999885,48.42401589999992,2021S051259170171,5,3,3,5,1,4,27,5,5,10,0.17221261921710623,0.15610606980071953,1,1,4,0.4322185125664384,2,13,48,0.17156111709690283,5244,17722,58771,2,89.76338790382897,82.96896084329349
N909,-13734219.397249,6179634.609897,-123.37659199999577,48.43561830000161,2021S051259170383,2,3,5,3,3,3,15,3,2,11,0.322274805376942,1.6268595032919426,0,0,4,0.40257102416325224,5,7,33,0.32374557095823286,1770,8995,48175,2,106.95212175775367,21.384776539088264
N910,-13731130.593075,6176222.106617,-123.3488448000042,48.41527580000187,2021S051259170288,3,1,5,3,4,3,24,1,5,10,0.23563932156335365,0.9958881582978355,0,1,3,0.5029727497489043,0,8,38,0.9172120018667218,3399,12541,47572,2,66.20845632622846,58.469935476071456
N911,-13732130.186442,6177007.586887,-123.35782429999904,48.419958900002115,2021S051259170285,4,4,5,5,4,3,18,2,3,12,0.17291549083271768,0.2505743411317452,1,2,4,0.4083228981515186,6,20,39,0.2777574924786897,7493,21606,56559,3,93.58310653803446,46.398901534468465
N912,-13732286.156181,6176480.632353,-123.35922540000304,48.416817199997205,2021S051259170286,4,4,5,5,4,3,18,2,3,9,0.10903229531200055,0.6092852764970532,0,1,4,0.29779117365186863,3,13,35,0.27271487404193906,3472,17865,49823,2,82.123950635418,51.463376686775675
N913,-13732072.667661,6175802.769515,-123.35730759999805,48.41277549999827,2021S051259170290,3,1,5,1,4,3,19,2,5,11,0.14452543583923164,1.0495886769733367,0,0,3,0.13649230673519155,3,4,30,0.7360004392436177,4078,11717,42014,3,66.52676621241226,45.179720209379695
N914,-13733700.303332,6179656.875126,-123.37192890000041,48.43575100000224,2021S051259170383,2,3,5,3,3,3,15,3,2,11,0.26398570894622336,1.4194602814051942,0,0,4,0.6846551604996377,0,9,37,0.26888323673659703,1126,9857,57135,2,114.59155902616465,24.2857410366715
N915,-13733576.605114,6179697.630545,-123.37081770000195,48.435993900002764,2021S051259170383,2,3,5,3,3,3,15,3,2,11,0.294477707652098,1.3500799292530044,0,0,3,0.599058298699563,0,10,37,0.2992102742183034,1126,9390,57643,2,115.22817879853223,22.735611003761626
N916,-13733296.881497,6179675.935684,-123.36830489999716,48.43586459999834,2021S051259170150,2,5,5,2,3,4,24,2,5,11,0.3681170715425946,1.2683087647303324,0,0,3,0.4508206569430427,1,9,37,0.36813065351845986,2763,11711,60723,2,111.09015027814294,54.83183648859519
N917,-13731998.23945,6177842.072263,-123.35663900000296,48.42493369999744,2021S051259170163,5,1,5,4,2,4,19,3,1,11,0.11786462157112267,0.3138920396126429,1,2,4,0.09055838460761405,13,25,45,0.11646916070550921,7905,22883,63791,2,103.76902289591577,49.85840363606879
N918,-13731983.934895,6177921.687121,-123.35651049999905,48.42540830000298,2021S051259170164,5,4,5,4,2,4,23,3,3,11,0.10561746725736341,0.36729873248282824,1,3,4,0.11267192204775613,13,25,44,0.10438190421147546,9029,22893,64986,2,103.45071300973197,75.06870951952108
N919,-13731771.470515,6180036.752045,-123.35460190000019,48.43801499999803,2021S051259170155,3,3,3,3,3,2,19,5,4,11,0.10564537783339124,0.5745551087936009,0,2,5,0.2944223120652306,1,7,45,0.18751768515818884,5150,15056,56863,3,99.94930426171028,52.628125683999095
N920,-13731628.892511,6180069.522257,-123.35332109999848,48.43821030000281,2021S051259170155,3,3,3,3,3,2,19,5,4,11,0.01728349694286385,0.5648359886998341,0,1,5,0.38542836666032576,1,7,44,0.2708112606876152,4651,14764,57420,2,93.58310653803446,60.806062264699904
N921,-13734890.108313,6179745.735277,-123.38261709999595,48.43628060000031,2021S051259170817,3,1,5,5,1,2,16,5,1,11,0.1287089049739332,1.1751882733125827,0,0,3,0.3561197206770336,6,7,21,0.5809963258625678,1568,14003,37295,4,99.94930426171028,33.46574822596453
N922,-13734967.141401,6179771.03777,-123.3833090999993,48.43643139999742,2021S051259170817,3,1,5,5,1,2,16,5,1,11,0.17232968866016626,1.121898941390888,0,0,3,0.31012859612530497,6,7,21,0.6107486045772378,1568,14965,34786,2,99.63099437552648,30.675557671171276
N923,-13735137.159659,6179779.54466,-123.3848363999967,48.43648209999933,2021S051259170817,3,1,5,5,1,2,16,5,1,11,0.2641833833362408,1.009661182344381,0,0,3,0.20609513120376907,3,7,19,0.6418006989392965,2631,13402,32351,4,95.811275741321,25.42979178980212
N924,-13735398.960838,6179780.1487,-123.38718820000166,48.43648570000036,2021S051259170373,2,2,5,2,1,2,17,4,4,8,0.2045577998480828,0.8390363158575413,0,1,3,0.09084595182650915,1,7,15,0.6335099846851742,3710,11860,29975,2,87.53521870054244,33.58982522980117
N925,-13734970.948528,6179862.432747,-123.38334330000302,48.436976099997096,2021S051259170817,3,1,5,5,1,2,16,5,1,11,0.22260694065976375,1.1108925456390428,0,0,3,0.32942478218259,4,7,21,0.6191879573633553,2136,13965,34738,2,100.90423392026165,27.706579343738845
